0.000,-0.007,5.222,9.480
1.000,-0.007,5.222,9.480
2.000,-0.007,5.222,9.480
3.000,-0.007,5.222,9.480
4.000,-0.007,5.222,9.480
5.000,-0.007,5.222,9.480
6.000,-0.007,5.222,9.480
7.000,-0.007,5.222,9.480
8.000,-0.007,5.222,9.480
9.000,-0.007,5.222,9.480
10.000,-0.007,5.222,9.480
11.000,-0.007,5.222,9.480
12.000,-0.007,5.222,9.480
13.000,-0.007,5.222,9.480
14.000,-0.007,5.222,9.480
15.000,-0.007,5.222,9.480
16.000,-0.007,5.222,9.480
17.000,-0.007,5.222,9.480
18.000,-0.007,5.222,9.480
19.000,-0.007,5.222,9.480
20.000,0.019,5.209,9.480
21.000,0.176,5.076,9.480
22.000,0.326,4.941,9.480
23.000,0.481,4.889,9.480
24.000,0.621,4.927,9.480
25.000,0.683,5.053,9.480
26.000,0.657,5.202,9.480
27.000,0.538,5.287,9.480
28.000,0.410,5.295,9.480
29.000,0.370,5.295,9.480
30.000,0.370,5.295,9.493
31.000,0.370,5.295,9.587
32.000,0.370,5.295,9.674
33.000,0.370,5.295,9.684
34.000,0.370,5.295,9.684
35.000,0.370,5.295,9.684
36.000,0.370,5.295,9.684
37.000,0.370,5.295,9.656
38.000,0.370,5.295,9.543
39.000,0.370,5.295,9.394
40.000,0.370,5.295,9.244
41.000,0.370,5.295,9.094
42.000,0.370,5.295,8.942
43.000,0.370,5.295,8.796
44.000,0.370,5.343,8.646
45.000,0.370,5.474,8.496
46.000,0.370,5.625,8.346
47.000,0.370,5.730,8.196
48.000,0.370,5.742,8.024
49.000,0.421,5.807,7.874
50.000,0.553,5.945,7.726
51.000,0.696,6.087,7.582
52.000,0.839,6.232,7.439
53.000,0.985,6.377,7.294
54.000,1.128,6.519,7.151
55.000,1.275,6.669,7.006
56.000,1.424,6.817,6.855
57.000,1.570,6.963,6.709
58.000,1.718,7.110,6.563
59.000,1.865,7.258,6.415
60.000,2.013,7.405,6.267
61.000,2.195,7.588,6.086
62.000,2.344,7.738,5.937
63.000,2.494,7.888,5.787
64.000,2.624,8.041,5.636
65.000,2.664,8.193,5.482
66.000,2.664,8.343,5.331
67.000,2.664,8.493,5.181
68.000,2.664,8.644,5.031
69.000,2.664,8.795,4.881
70.000,2.664,8.943,4.731
71.000,2.664,9.049,4.581
72.000,2.675,9.070,4.429
73.000,2.768,9.070,4.277
74.000,2.918,9.070,4.127
75.000,3.068,9.070,3.977
76.000,3.218,9.070,3.827
77.000,3.368,9.070,3.676
78.000,3.522,9.070,3.525
79.000,3.674,9.070,3.425
80.000,3.824,9.070,3.410
81.000,3.969,9.070,3.410
82.000,4.112,9.070,3.410
83.000,4.256,9.070,3.410
84.000,4.400,9.070,3.410
85.000,4.544,9.070,3.410
86.000,4.686,9.070,3.410
87.000,4.829,9.070,3.410
88.000,4.972,9.070,3.410
89.000,5.125,9.070,3.410
90.000,5.276,9.070,3.410
91.000,5.428,9.070,3.410
92.000,5.580,9.070,3.410
93.000,5.733,9.070,3.410
94.000,5.829,9.070,3.410
95.000,5.843,9.070,3.410
96.000,5.843,9.070,3.411
97.000,5.877,9.070,3.463
98.000,5.983,9.121,3.596
99.000,6.029,9.255,3.747
100.000,5.986,9.355,3.896
101.000,5.911,9.365,4.046
102.000,5.921,9.294,4.196
103.000,6.019,9.264,4.346
104.000,6.109,9.320,4.494
105.000,6.113,9.431,4.640
106.000,6.044,9.470,4.786
107.000,6.026,9.426,4.936
108.000,6.096,9.415,5.086
109.000,6.186,9.493,5.236
110.000,6.188,9.635,5.387
111.000,6.112,9.709,5.533
112.000,6.074,9.699,5.682
113.000,6.120,9.654,5.828
114.000,6.270,9.709,5.974
115.000,6.328,9.846,6.158
116.000,6.297,9.963,6.309
117.000,6.210,9.990,6.462
118.000,6.201,9.989,6.614
119.000,6.272,10.035,6.765
120.000,6.288,10.167,6.917
121.000,6.216,10.302,7.068
122.000,6.071,10.352,7.218
123.000,5.967,10.315,7.368
124.000,5.953,10.232,7.522
125.000,5.975,10.219,7.667
126.000,5.975,10.219,7.762
127.000,5.975,10.219,7.777
128.000,5.975,10.219,7.777
129.000,5.975,10.219,7.777
130.000,5.975,10.219,7.777
131.000,5.975,10.219,7.777
132.000,5.975,10.219,7.777
133.000,5.975,10.219,7.777
134.000,5.975,10.219,7.777
135.000,5.975,10.219,7.777
136.000,5.975,10.219,7.777
137.000,5.975,10.219,7.777
138.000,5.975,10.219,7.777
139.000,5.975,10.219,7.777
140.000,5.975,10.219,7.777
